epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2398.29,0.36639,0.54547,0.28112,0.85192,0.99874,1,0.995,0.94306,0.99874,1,0.995,0.94036,0.41081,0.50879,0.23454,0.86372,0.000284,0.000284,0.000284
106,2421.51,0.36887,0.50042,0.28669,0.84425,0.99872,1,0.995,0.94817,0.99872,1,0.995,0.94134,0.34495,0.54469,0.20076,0.82127,0.0002675,0.0002675,0.0002675
107,2444.36,0.36964,0.52352,0.25858,0.86259,0.9987,1,0.995,0.95546,0.9987,1,0.995,0.94326,0.35182,0.51699,0.20706,0.8222,0.000251,0.000251,0.000251
108,2467.83,0.38197,0.54923,0.29032,0.85485,0.99872,1,0.995,0.94159,0.99872,1,0.995,0.94669,0.34822,0.5221,0.20442,0.82038,0.0002345,0.0002345,0.0002345
109,2490.95,0.36301,0.53533,0.26074,0.84383,0.99872,1,0.995,0.94225,0.99872,1,0.995,0.94056,0.35642,0.56561,0.19865,0.82431,0.000218,0.000218,0.000218
110,2513.78,0.37395,0.51554,0.28924,0.85049,0.99877,1,0.995,0.93646,0.99877,1,0.995,0.93918,0.37128,0.57917,0.19886,0.83132,0.0002015,0.0002015,0.0002015
111,2536.06,0.29276,0.42676,0.22568,0.79769,0.99874,1,0.995,0.9352,0.99874,1,0.995,0.93385,0.37134,0.57145,0.20318,0.83736,0.000185,0.000185,0.000185
112,2558.39,0.28611,0.42235,0.22364,0.79025,0.99873,1,0.995,0.9312,0.99873,1,0.995,0.93436,0.38207,0.55095,0.20064,0.84437,0.0001685,0.0001685,0.0001685
113,2580.57,0.29393,0.41097,0.22357,0.79259,0.99871,1,0.995,0.93503,0.99871,1,0.995,0.93892,0.39349,0.52228,0.21285,0.84927,0.000152,0.000152,0.000152
114,2603.11,0.28902,0.41427,0.22826,0.79356,0.99872,1,0.995,0.93679,0.99872,1,0.995,0.93912,0.39597,0.52394,0.21923,0.84983,0.0001355,0.0001355,0.0001355
115,2625.43,0.28637,0.4187,0.22507,0.78533,0.9987,1,0.995,0.94594,0.9987,1,0.995,0.9353,0.38393,0.5184,0.21499,0.84141,0.000119,0.000119,0.000119
116,2647.98,0.2854,0.41343,0.22375,0.79171,0.9987,1,0.995,0.93505,0.9987,1,0.995,0.94137,0.42741,0.52208,0.22768,0.8834,0.0001025,0.0001025,0.0001025
117,2671.09,0.28033,0.4195,0.21329,0.8026,0.99879,1,0.995,0.94152,0.99879,1,0.995,0.94324,0.44322,0.52034,0.22829,0.90907,8.6e-05,8.6e-05,8.6e-05
118,2693.39,0.27635,0.40966,0.21449,0.78799,0.99884,1,0.995,0.94158,0.99884,1,0.995,0.94266,0.43502,0.5163,0.23012,0.9078,6.95e-05,6.95e-05,6.95e-05
119,2715.69,0.27799,0.40376,0.21093,0.78125,0.99885,1,0.995,0.94042,0.99885,1,0.995,0.94402,0.43806,0.5146,0.23003,0.92372,5.3e-05,5.3e-05,5.3e-05
120,2737.86,0.27818,0.40445,0.2186,0.79772,0.99885,1,0.995,0.94275,0.99885,1,0.995,0.94425,0.43251,0.51506,0.22887,0.91284,3.65e-05,3.65e-05,3.65e-05
